Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Units Sold,Total Profit
Sub-Saharan Africa,Namibia,Household,Offline,M,8/31/2015,3604,597290.92
Europe,Iceland,Baby Food,Online,H,11/20/2010,8435,808579.10
Europe,Russia,Meat,Online,L,6/22/2017,4848,277305.60
Europe,Moldova,Meat,Online,L,2/28/2012,7225,413270.00
Europe,Malta,Cereal,Online,M,08.12.2010,1975,174965.25
Asia,Indonesia,Meat,Online,H,8/20/2010,2542,145402.40
Sub-Saharan Africa,Djibouti,Household,Online,M,02.03.2011,4398,728880.54
Europe,Greece,Household,Online,L,09.11.2015,49,8120.77
Sub-Saharan Africa,Cameroon,Cosmetics,Offline,M,1/31/2014,4031,700869.97
Sub-Saharan Africa,Nigeria,Cosmetics,Online,C,11/21/2015,7911,1375485.57
Middle East and North Africa,Afghanistan,Cosmetics,Offline,L,10/21/2016,6792,1180925.04
Asia,India,Vegetables,Online,C,3/21/2010,5084,320952.92
Middle East and North Africa,Lebanon,Vegetables,Online,L,10/15/2010,9855,622146.15
Middle East and North Africa,Turkey,Office Supplies,Online,L,10.04.2010,2831,357413.75
Middle East and North Africa,Iraq,Cosmetics,Offline,M,10/14/2014,2766,480924.42
Sub-Saharan Africa,Rwanda,Personal Care,Offline,M,6/15/2013,445,11151.70
Europe,Ukraine,Baby Food,Offline,M,05.07.2017,3687,353435.82
Europe,Finland,Office Supplies,Online,H,5/21/2015,2339,295298.75
Sub-Saharan Africa,South Sudan,Beverages,Offline,H,6/28/2016,3283,51411.78
Middle East and North Africa,Kuwait,Personal Care,Online,C,2/18/2012,4718,118233.08
Europe,United Kingdom,Office Supplies,Offline,C,09.09.2014,9125,1152031.25
Central America and the Caribbean,Saint Kitts and Nevis,Personal Care,Online,C,8/24/2013,3656,91619.36
Central America and the Caribbean,Antigua and Barbuda,Personal Care,Offline,M,09.04.2015,5345,133945.70
Central America and the Caribbean,Saint Lucia,Cosmetics,Offline,L,2/26/2017,8261,1436340.07
Middle East and North Africa,Kuwait,Personal Care,Offline,H,7/15/2015,8502,213060.12
Sub-Saharan Africa,South Sudan,Office Supplies,Online,L,02.09.2013,9197,1161121.25
Middle East and North Africa,Tunisia,Snacks,Online,M,3/27/2013,5509,303766.26
Middle East and North Africa,Yemen,Cereal,Online,H,7/23/2016,9629,853033.11
Sub-Saharan Africa,Guinea,Vegetables,Offline,L,3/18/2017,5781,364954.53
Australia and Oceania,Tuvalu,Household,Online,M,03.03.2014,5220,865110.60
Asia,South Korea,Cereal,Offline,H,1/23/2015,1232,109142.88
Europe,San Marino,Meat,Offline,L,3/17/2017,4134,236464.80
Central America and the Caribbean,Trinidad and Tobago,Household,Online,L,06.08.2011,6276,1040121.48
Europe,Kosovo,Meat,Offline,H,2/14/2016,7036,402459.20
Europe,Hungary,Personal Care,Online,C,11.11.2012,7826,196119.56
Sub-Saharan Africa,Botswana,Personal Care,Offline,M,10/26/2010,7089,177650.34
Middle East and North Africa,Turkey,Beverages,Online,H,8/21/2012,5298,82966.68
Europe,Serbia,Cosmetics,Online,C,09.05.2010,9958,1731397.46
Central America and the Caribbean,Guatemala,Personal Care,Online,M,07.05.2013,605,15161.30
Middle East and North Africa,United Arab Emirates,Household,Offline,H,10/29/2011,3806,630768.38
Australia and Oceania,Samoa,Vegetables,Offline,C,7/18/2012,8161,515203.93
Sub-Saharan Africa,Botswana,Beverages,Offline,L,04.12.2012,9298,145606.68
Middle East and North Africa,Bahrain,Office Supplies,Offline,H,4/14/2016,4880,616100.00
Central America and the Caribbean,Saint Vincent and the Grenadines,Snacks,Online,C,12/13/2011,9598,529233.72
Middle East and North Africa,Pakistan,Baby Food,Offline,M,06.10.2010,176,16871.36
Europe,Hungary,Beverages,Online,C,8/21/2012,370,5794.20
Europe,Poland,Cereal,Online,L,11/28/2012,5964,528350.76
Middle East and North Africa,Tunisia,Office Supplies,Online,C,6/23/2010,9777,1234346.25
Europe,Lithuania,Fruits,Offline,M,03.11.2013,6657,16043.37
Australia and Oceania,Samoa,Vegetables,Offline,H,1/18/2011,8484,535594.92
Sub-Saharan Africa,Sudan,Beverages,Offline,M,04.01.2010,9170,143602.20
Europe,Portugal,Personal Care,Offline,H,04.08.2014,9656,241979.36
Australia and Oceania,Fiji,Vegetables,Online,C,07.05.2012,2916,184087.08
Sub-Saharan Africa,Tanzania,Meat,Online,M,5/15/2014,8955,512226.00
Sub-Saharan Africa,Sao Tome and Principe,Cosmetics,Online,H,2/28/2015,9810,1705664.70
Sub-Saharan Africa,Cape Verde,Meat,Online,L,1/18/2015,4547,260088.40
Middle East and North Africa,Lebanon,Vegetables,Offline,C,04.07.2015,4265,269249.45
North America,Greenland,Personal Care,Online,H,4/27/2014,7094,177775.64
Sub-Saharan Africa,Guinea-Bissau,Baby Food,Online,H,10/16/2011,3196,306368.56
Europe,Georgia,Meat,Online,H,02.06.2012,9762,558386.40
